X,Y,Grant.ID,fullAddress,OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_,POVScore,PHYSRatioS,Shape__Are,Shape__Len
-118.187472,33.809485,2289090-2223,"#1 450 e spring st #1, Long Beach, CA 90806",469,27,37,Los Angeles,78.2lll,Bixby Knolls/Long Beach Central,Urban,7556.453921,0.35096251,74183,No,2,274,404.1569343,2,0,0.003680429,0.408778897
-119.8184768,34.44131203,2253289-2223,"5580 Calle Real, Goleta, CA 93111",212,19,83,Santa Barbara,181b,Goleta North/Mission Canyon/Montecito/Riviera/Santa Barbara North,Urban,1031.973883,1.9053952,63946,No,1,204,402.2843137,1,0,0.019989082,1.003809205
-116.477959,33.78630602,2253215-2223,"67780 East Palm Canyon Drive, Cathedral City, CA 92234",68,11,65,Riverside,129.3,Agua Caliente/Palm Springs Central,Urban,286.1279909,1.01585497,21685,Yes,5,17,1723.705882,3,2,0.025629212,0.926805406
-117.251927,33.91075599,2253194-2223,"23520 Cactus Ave, Moreno Valley, CA 92555",80,35,65,Riverside,135b,Edgemont/Orange Crest/Woodcrest,Urban,1788.018597,1.64181428,91152,Yes,6,71,2388.028169,3,3,0.023527001,0.800383772
-121.931167,37.31426202,2253248-2223,"750 S Bascom Avenue, San Jose, CA 95128",223,17,85,Santa Clara,183j,San Jose Northwest,Urban,9531.938009,0.77774166,53473,No,2,428,219.9485981,2,0,0.002541848,0.308078142
-119.7794695,34.444785,2289223-2223,"345 Camino del Remedio, Santa Barbara, CA 93110",212,19,83,Santa Barbara,181b,Goleta North/Mission Canyon/Montecito/Riviera/Santa Barbara North,Urban,1031.973883,1.9053952,63946,No,1,204,402.2843137,1,0,0.019989082,1.003809205
-118.2231074,33.89603729,2289239-2223,"135 E Compton Boulevard Suite 131, Los Angeles, CA 90220",429,20,37,Los Angeles,78.2bbb,Compton East,Urban,11713.26535,0.53450373,23920,Yes,10,13,7075.076923,5,5,0.00195747,0.267018688
-117.96974,33.84847602,2253244-2223,"2441 W La Palma Ave, Anaheim, CA 92801",31,20,59,Orange,116c,Anaheim West,Urban,11058.89329,0.50759448,66083,No,4,86,1439.802326,3,1,0.002810334,0.272462208
-116.405687,33.76357199,2253159-2223,"39000 Bob Hope Drive, Rancho Mirage, CA 92270",66,27,65,Riverside,129.1,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,Urban,944.6021104,23.82256624,71177,No,2,162,636.5679012,2,0,0.026663366,0.947407295
-119.027357,36.068777,2289330-2223,"465 W Putnam Ave, Porterville, CA 93257",308,17,107,Tulare,231,Alpaugh/Earlimart/Pixley/Porterville/Rich Grove/Terra Bella,Rural,157.0743878,3.09494337,29928,Yes,6,77,1317.207792,5,1,0.165927271,2.52848549
-117.299301,34.09693998,2253282-2223,"250  S. G. Street, San Bernardino, San Bernardino  92410",124,23,71,San Bernardino,151g,Muscoy/San Bernardino Central,Urban,5086.512783,1.48810372,40916,Yes,9,49,2560.122449,5,4,0.006289194,0.474749639
-122.207415,37.466512,2253290-2223,"3301 El Camino Real, Suite 102, Atherton, San Mateo  94027",199,14,81,San Mateo,176b,East Menlo Park/East Palo Alto/North Fair Oaks/Redwood City East,Urban,3594.577193,0.4402245,27921,Yes,5,40,1980.1,3,2,0.005670809,0.613499322
